CustomerID,Gender,Age Category,Age,Annual Income (k$),Spending Score (1-100)
100,Male,20-25,20,61,49
101,Female,20-25,23,62,41
102,Female,45-55,49,62,48
103,Male,55+,67,62,59
104,Male,25-35,26,62,55
105,Male,45-55,49,62,56
106,Female,20-25,21,62,42
107,Female,55+,66,63,50
108,Male,45-55,54,63,46
109,Male,55+,68,63,43
110,Male,55+,66,63,48
111,Male,55+,65,63,52
112,Female,<20,19,63,54
113,Female,35-45,38,64,42
114,Male,<20,19,64,46
115,Female,<20,18,65,48
116,Female,<20,19,65,50
117,Female,55+,63,65,43
118,Female,45-55,49,65,59
119,Female,45-55,51,67,43
120,Female,45-55,50,67,57
121,Male,25-35,27,67,56
122,Female,35-45,38,67,40
123,Female,35-45,40,69,58
124,Male,35-45,39,69,91
125,Female,20-25,23,70,29
126,Female,25-35,31,70,77
127,Male,35-45,43,71,35
128,Male,35-45,40,71,95
129,Male,55+,59,71,11
130,Male,35-45,38,71,75
131,Male,45-55,47,71,9
132,Male,35-45,39,71,75
133,Female,25-35,25,72,34
134,Female,25-35,31,72,71
135,Male,20-25,20,73,5
136,Female,25-35,29,73,88
137,Female,35-45,44,73,7
138,Male,25-35,32,73,73
139,Male,<20,19,74,10
140,Female,35-45,35,74,72
141,Female,55+,57,75,5
142,Male,25-35,32,75,93
143,Female,25-35,28,76,40
144,Female,25-35,32,76,87
145,Male,25-35,25,77,12
146,Male,25-35,28,77,97
147,Male,45-55,48,77,36
148,Female,25-35,32,77,74
149,Female,25-35,34,78,22
150,Male,25-35,34,78,90
151,Male,35-45,43,78,17
152,Male,35-45,39,78,88
153,Female,35-45,44,78,20
154,Female,35-45,38,78,76
155,Female,45-55,47,78,16
156,Female,25-35,27,78,89
157,Male,35-45,37,78,1
158,Female,25-35,30,78,78
159,Male,25-35,34,78,1
160,Female,25-35,30,78,73
161,Female,55+,56,79,35
162,Female,25-35,29,79,83
163,Male,<20,19,81,5
164,Female,25-35,31,81,93
165,Male,45-55,50,85,26
166,Female,35-45,36,85,75
167,Male,35-45,42,86,20
168,Female,25-35,33,86,95
169,Female,35-45,36,87,27
170,Male,25-35,32,87,63
171,Male,35-45,40,87,13
172,Male,25-35,28,87,75
173,Male,35-45,36,87,10
174,Male,35-45,36,87,92
175,Female,45-55,52,88,13
176,Female,25-35,30,88,86
177,Male,55+,58,88,15
178,Male,25-35,27,88,69
179,Male,55+,59,93,14
180,Male,35-45,35,93,90
181,Female,35-45,37,97,32
182,Female,25-35,32,97,86
183,Male,45-55,46,98,15
184,Female,25-35,29,98,88
185,Female,35-45,41,99,39
186,Male,25-35,30,99,97
187,Female,45-55,54,101,24
188,Male,25-35,28,101,68
189,Female,35-45,41,103,17
190,Female,35-45,36,103,85
191,Female,25-35,34,103,23
192,Female,25-35,32,103,69
193,Male,25-35,33,113,8
194,Female,35-45,38,113,91
195,Female,45-55,47,120,16
196,Female,35-45,35,120,79
197,Female,45-55,45,126,28
198,Male,25-35,32,126,74
199,Male,25-35,32,137,18
200,Male,25-35,30,137,83
